,predict
157,3.1846232414245605
158,3.1846232414245605
159,3.1846232414245605
160,3.1846232414245605
161,3.1846232414245605
162,3.1846232414245605
163,3.1846232414245605
164,3.1846232414245605
165,3.1846232414245605
166,3.1846232414245605
167,3.1846232414245605
168,3.1846232414245605
169,3.1846232414245605
170,3.1846232414245605
171,3.1846232414245605
172,3.1846232414245605
173,3.1846232414245605
174,3.1846232414245605
175,3.1846232414245605
176,3.1846232414245605
177,3.1846232414245605
178,3.1846232414245605
179,3.1846232414245605
180,3.1846232414245605
181,3.1846232414245605
182,3.1846232414245605
183,3.1846232414245605
184,3.1846232414245605
185,3.1846232414245605
186,3.1846232414245605
187,3.1846232414245605
188,3.1846232414245605
189,3.1846232414245605
190,3.1846232414245605
191,3.1846232414245605
192,3.1846232414245605
193,3.1846232414245605
194,3.1846232414245605
195,3.1846232414245605
196,3.1846232414245605
197,3.1846232414245605
198,3.1846232414245605
199,3.1846232414245605
200,3.1846232414245605
201,3.1846232414245605
202,3.1846232414245605
203,3.1846232414245605
204,3.1846232414245605
205,3.1846232414245605
206,3.1846232414245605
207,3.1846232414245605
208,3.1846232414245605
209,3.1846232414245605
210,3.1846232414245605
211,3.1846232414245605
212,3.1846232414245605
213,3.1846232414245605
214,3.1846232414245605
215,3.1846232414245605
216,3.1846232414245605
217,3.1846232414245605
218,3.1846232414245605
219,3.1846232414245605
220,3.1846232414245605
221,3.1846232414245605
222,3.1846232414245605
223,3.1846232414245605
224,3.1846232414245605
225,3.1846232414245605
226,3.1846232414245605
227,3.1846232414245605
228,3.1846232414245605
229,3.1846232414245605
230,3.1846232414245605
231,3.1846232414245605
232,3.1846232414245605
233,3.1846232414245605
234,3.1846232414245605
235,3.1846232414245605
236,3.1846232414245605
237,3.1846232414245605
238,3.1846232414245605
239,3.6429195404052734
240,3.6429195404052734
241,3.6429195404052734
242,3.1846232414245605
243,3.6429195404052734
244,3.6429195404052734
245,3.6429195404052734
246,3.6429195404052734
247,3.1846232414245605
248,3.6429195404052734
249,3.6429195404052734
250,3.1846232414245605
251,3.6429195404052734
252,3.6429195404052734
253,3.6429195404052734
254,3.6429195404052734
255,3.6429195404052734
256,3.6429195404052734
257,3.6429195404052734
258,3.6429195404052734
259,3.6429195404052734
260,3.6429195404052734
261,3.6429195404052734
262,3.6429195404052734
263,3.6429195404052734
264,3.6429195404052734
265,3.6429195404052734
266,3.6429195404052734
267,3.6429195404052734
268,3.6429195404052734
269,3.6429195404052734
270,3.6429195404052734
271,3.6429195404052734
272,3.6429195404052734
273,3.6429195404052734
274,3.6429195404052734
275,3.6429195404052734
276,3.6429195404052734
277,3.6429195404052734
278,3.6429195404052734
279,3.6429195404052734
280,3.6429195404052734
281,3.6429195404052734
282,3.6429195404052734
283,3.6429195404052734
284,3.1846232414245605
285,3.1846232414245605
286,3.1846232414245605
287,3.6429195404052734
288,3.6429195404052734
289,3.6429195404052734
290,3.6429195404052734
291,3.6429195404052734
292,3.6429195404052734
293,3.6429195404052734
294,3.6429195404052734
295,3.6429195404052734
296,3.6429195404052734
297,3.6429195404052734
298,3.1846232414245605
299,3.1846232414245605
300,3.1846232414245605
301,3.1846232414245605
302,3.6429195404052734
303,3.6429195404052734
304,3.6429195404052734
305,3.1846232414245605
306,3.1846232414245605
307,3.1846232414245605
308,3.1846232414245605
309,3.1846232414245605
310,3.1846232414245605
311,3.252903461456299
312,3.252903461456299
313,3.1846232414245605
