,predict
248,64.15699768066406
249,64.15699768066406
250,64.15699768066406
251,64.15699768066406
252,64.15699768066406
253,64.15699768066406
254,64.15699768066406
255,64.15699768066406
256,64.15699768066406
257,64.15699768066406
258,64.15699768066406
259,64.15699768066406
260,64.15699768066406
261,64.15699768066406
262,64.15699768066406
263,64.15699768066406
264,64.15699768066406
265,64.15699768066406
266,64.15699768066406
267,64.15699768066406
268,64.15699768066406
269,64.15699768066406
270,64.15699768066406
271,64.15699768066406
272,64.15699768066406
273,64.15699768066406
274,64.15699768066406
275,64.15699768066406
276,64.15699768066406
277,64.15699768066406
278,64.15699768066406
279,64.15699768066406
280,64.15699768066406
281,64.15699768066406
282,64.15699768066406
283,64.15699768066406
284,64.15699768066406
285,64.15699768066406
286,64.15699768066406
287,64.15699768066406
288,64.15699768066406
289,64.15699768066406
290,64.15699768066406
291,64.15699768066406
292,64.15699768066406
293,64.15699768066406
294,64.15699768066406
295,64.15699768066406
296,64.15699768066406
297,64.15699768066406
298,64.15699768066406
299,64.15699768066406
300,64.15699768066406
301,64.15699768066406
302,64.15699768066406
303,64.15699768066406
304,64.15699768066406
305,64.15699768066406
306,64.15699768066406
307,64.15699768066406
308,64.15699768066406
309,64.15699768066406
310,64.15699768066406
311,64.15699768066406
312,64.15699768066406
313,64.15699768066406
314,64.15699768066406
315,64.15699768066406
316,64.15699768066406
317,64.15699768066406
318,64.15699768066406
319,64.15699768066406
320,64.15699768066406
321,64.15699768066406
322,64.15699768066406
323,64.15699768066406
324,64.15699768066406
325,64.15699768066406
326,64.15699768066406
327,64.15699768066406
328,64.15699768066406
329,64.15699768066406
330,64.15699768066406
331,64.15699768066406
332,64.15699768066406
333,64.15699768066406
334,64.15699768066406
335,64.15699768066406
336,64.15699768066406
337,64.15699768066406
338,64.15699768066406
339,64.15699768066406
340,64.15699768066406
341,64.15699768066406
342,64.15699768066406
343,64.15699768066406
344,64.15699768066406
345,64.15699768066406
346,64.15699768066406
347,64.15699768066406
348,64.15699768066406
349,64.15699768066406
350,64.15699768066406
351,64.15699768066406
352,64.15699768066406
353,64.15699768066406
354,64.15699768066406
355,64.15699768066406
356,64.15699768066406
357,64.15699768066406
358,64.15699768066406
359,64.15699768066406
360,64.15699768066406
361,64.15699768066406
362,64.15699768066406
363,64.15699768066406
364,64.15699768066406
365,64.15699768066406
366,64.15699768066406
367,64.15699768066406
368,64.15699768066406
369,64.15699768066406
370,64.15699768066406
371,64.15699768066406
372,64.15699768066406
373,64.15699768066406
374,64.15699768066406
375,64.15699768066406
376,64.15699768066406
377,64.15699768066406
378,64.15699768066406
379,64.15699768066406
380,64.15699768066406
381,64.15699768066406
382,64.15699768066406
383,64.15699768066406
384,64.15699768066406
385,64.15699768066406
386,64.15699768066406
387,64.15699768066406
388,64.15699768066406
389,64.15699768066406
390,64.15699768066406
391,64.15699768066406
392,64.15699768066406
393,64.15699768066406
394,64.15699768066406
395,64.15699768066406
396,64.15699768066406
397,64.15699768066406
398,64.15699768066406
399,64.15699768066406
400,64.15699768066406
401,64.15699768066406
402,64.15699768066406
403,64.15699768066406
404,64.15699768066406
405,64.15699768066406
406,64.15699768066406
407,64.15699768066406
408,64.15699768066406
409,64.15699768066406
410,64.15699768066406
411,64.15699768066406
412,64.15699768066406
413,64.15699768066406
414,64.15699768066406
415,64.15699768066406
416,64.15699768066406
417,64.15699768066406
418,64.15699768066406
419,64.15699768066406
420,64.15699768066406
421,64.15699768066406
422,64.15699768066406
423,64.15699768066406
424,64.15699768066406
425,64.15699768066406
426,64.15699768066406
427,64.15699768066406
428,64.15699768066406
429,64.15699768066406
430,64.15699768066406
431,64.15699768066406
432,64.15699768066406
433,64.15699768066406
434,64.15699768066406
435,64.15699768066406
436,64.15699768066406
437,64.15699768066406
438,64.15699768066406
439,64.15699768066406
440,64.15699768066406
441,64.15699768066406
442,64.15699768066406
443,64.15699768066406
444,64.15699768066406
445,64.15699768066406
446,64.15699768066406
447,64.15699768066406
448,64.15699768066406
449,64.15699768066406
450,64.15699768066406
451,64.15699768066406
452,64.15699768066406
453,64.15699768066406
454,64.15699768066406
455,64.15699768066406
456,64.15699768066406
457,64.15699768066406
458,64.15699768066406
459,64.15699768066406
460,64.15699768066406
461,64.15699768066406
462,64.15699768066406
463,64.15699768066406
464,64.15699768066406
465,64.15699768066406
466,64.15699768066406
467,64.15699768066406
468,64.15699768066406
469,64.15699768066406
470,64.15699768066406
471,64.15699768066406
472,64.15699768066406
473,64.15699768066406
474,64.15699768066406
475,64.15699768066406
476,64.15699768066406
477,64.15699768066406
478,64.15699768066406
479,64.15699768066406
480,64.15699768066406
481,64.15699768066406
482,64.15699768066406
483,64.15699768066406
484,64.15699768066406
485,64.15699768066406
486,64.15699768066406
487,64.15699768066406
488,64.15699768066406
489,64.15699768066406
490,64.15699768066406
491,64.15699768066406
492,64.15699768066406
493,64.15699768066406
494,64.15699768066406
495,64.15699768066406
496,64.15699768066406
497,64.15699768066406
498,64.15699768066406
499,64.15699768066406
500,64.15699768066406
501,64.15699768066406
502,64.15699768066406
503,64.15699768066406
504,64.15699768066406
505,64.15699768066406
506,64.15699768066406
507,64.15699768066406
508,64.15699768066406
509,64.15699768066406
510,64.15699768066406
511,64.15699768066406
512,64.15699768066406
513,64.15699768066406
514,64.15699768066406
515,64.15699768066406
516,64.15699768066406
517,64.15699768066406
518,64.15699768066406
519,64.15699768066406
520,64.15699768066406
521,64.15699768066406
522,64.15699768066406
523,64.15699768066406
524,64.15699768066406
525,64.15699768066406
526,64.15699768066406
527,64.15699768066406
528,64.15699768066406
529,64.15699768066406
530,64.15699768066406
531,64.15699768066406
532,64.15699768066406
533,64.15699768066406
534,64.15699768066406
535,64.15699768066406
536,64.15699768066406
537,64.15699768066406
538,64.15699768066406
539,64.15699768066406
540,64.15699768066406
541,64.15699768066406
542,64.15699768066406
543,64.15699768066406
544,64.15699768066406
545,64.15699768066406
546,64.15699768066406
547,64.15699768066406
548,64.15699768066406
549,64.15699768066406
550,64.15699768066406
551,64.15699768066406
552,64.15699768066406
553,64.15699768066406
